FleetCode,GearGrpCode,ReDate,Lat,Lon
EU.ESP,TROL,2011-06-24,43.41666667,-1.783333333
EU.ESP,TROL,2012-07-21,43.67666667,-1.933333333
EU.ESP,TROL,2011-06-24,43.41666667,-1.783333333
EU.ESP,TROL,2011-07-23,43.55,-2
EU.ESP,TROL,2011-07-23,43.53333333,-2
EU.ESP,TROL,2011-07-23,43.53333333,-2
EU.ESP,TROL,2011-07-23,43.55,-2
EU.ESP,TROL,2011-07-23,43.55,-2
EU.ESP,TROL,2011-07-23,43.56666667,-1.983333333
EU.ESP,TROL,2011-07-07,43.64,-1.9033
EU.ESP,TROL,2015-10-12,43.56666667,-1.983333333
EU.ESP,TROL,2012-06-17,43.63,-1.94
EU.ESP,TROL,2012-06-17,43.62,-1.933333333
EU.ESP,TROL,2012-06-17,43.61333333,-1.933333333
EU.ESP,TROL,2012-06-17,43.62166667,-1.928333333
EU.ESP,TROL,2012-06-17,43.63,-1.91
EU.ESP,TROL,2011-07-16,43.73333333,-1.885
EU.ESP,TROL,2012-06-23,43.50833333,-1.866666667
EU.ESP,TROL,2012-06-23,43.545,-1.883333333
EU.ESP,TROL,2012-06-23,43.54833333,-1.883333333
EU.ESP,TROL,2012-06-23,43.55166667,-1.883333333
EU.ESP,TROL,2012-06-30,43.655,-1.916666667
EU.ESP,TROL,2012-06-30,43.53,-1.9
EU.ESP,TROL,2011-07-16,43.73333333,-1.895
EU.ESP,TROL,2012-07-01,43.54,-1.983333333
EU.ESP,TROL,2012-07-01,43.54,-1.983333333
EU.ESP,TROL,2012-06-30,43.66666667,-1.89
EU.ESP,TROL,2012-06-30,43.64666667,-1.861666667
EU.ESP,TROL,2012-06-30,43.64833333,-1.861666667
EU.ESP,TROL,2012-06-30,43.64833333,-1.861666667
EU.ESP,TROL,2012-06-30,43.64833333,-1.983333333
EU.ESP,TROL,2012-06-30,43.55333333,-1.783333333
EU.ESP,TROL,2012-06-30,43.63166667,-1.786666667
EU.ESP,TROL,2012-06-17,49.27666667,-1.867833333
EU.ESP,TROL,2012-06-17,43.625,-1.885
EU.ESP,SPHL,2010-06-25,43.66666667,-2.633333333
EU.ESP,TROL,2008-10-12,43.71,-2.25
EU.ESP,TROL,2008-10-13,43.685,-2.33
EU.ESP,TROL,2008-10-14,43.5766,-2.35
EU.ESP,TROL,2011-07-16,43.73333333,-1.92
EU.ESP,TROL,2011-07-16,43.85,-1.936666667
EU.ESP,TROL,2011-07-16,43.85,-1.936666667
EU.ESP,TROL,2011-07-16,43.88333333,-1.998333333
EU.ESP,TROL,2011-07-16,43.88333333,-1.998333333
EU.ESP,TROL,2011-07-16,43.71666667,-2.053333333
EU.ESP,TROL,2011-07-16,43.83333333,-1.95
EU.ESP,TROL,2011-07-16,43.86666667,-1.988333333
EU.ESP,TROL,2011-07-07,43.64,-1.9033
EU.ESP,TROL,2011-07-16,43.78333333,-2.001666667
EU.ESP,TROL,2011-07-07,43.588,-1.9466
EU.ESP,TROL,2011-07-07,43.588,-1.84367
EU.ESP,TROL,2011-07-07,43.5933,-1.8417
EU.ESP,TROL,2011-07-07,43.588,-1.845
EU.ESP,TROL,2011-07-07,43.596,-1.8467
EU.ESP,TROL,2011-07-16,43.765,-2.44
EU.ESP,TROL,2011-07-16,43.78333333,-2.001666667
EU.ESP,TROL,2011-07-16,43.78333333,-2.001666667
EU.ESP,TROL,2011-07-16,43.78333333,-2.001666667
EU.ESP,TROL,2011-07-16,43.78333333,-2.001666667
EU.ESP,TROL,2011-07-16,43.73333333,-1.925
EU.ESP,TROL,2011-07-16,43.73333333,-1.925
EU.ESP,TROL,2011-07-16,43.7,-1.915
EU.ESP,TROL,2015-08-08,43.59666667,-2.205
UNCL.FLEETS,UNCL,,,
EU.ESP,RR,2012-09-23,40.86388889,0.861111111
EU.ESP,SPOR,2011-08-01,40.81666667,0.916666667
EU.ESP,TROL,2011-07-30,43.57,-1.84
EU.ESP,TROL,2011-07-30,43.57,-1.84
EU.ESP,RRFB,2016-09-03,42.33,3.35
EU.ESP,SPOR,2011-08-01,40.86666667,0.866666667
EU.ESP,TROL,2011-09-18,43.8,-3.316
EU.ESP,TROL,2015-08-08,43.69333333,-2.22
EU.ESP,TROL,2012-06-16,43.595,-2.08
EU.ESP,TROL,2015-08-08,43.59666667,-2.205
EU.ESP,TROL,2015-08-08,43.58666667,-2.195
EU.ESP,TROL,2015-08-08,43.55333333,-2.003333333
EU.ESP,TROL,2015-08-08,43.56,-1.976666667
EU.ESP,TROL,2015-08-15,43.70833333,-2.503333333
EU.ESP,TROL,2015-08-15,43.61,-2.045
EU.ESP,TROL,2015-08-19,43.63833333,-2.081666667
EU.ESP,TROL,2015-08-19,43.67,-2.246666667
EU.ESP,TROL,2015-08-19,43.67833333,-2.315
EU.ESP,TROL,2015-08-19,43.68833333,-2.095
EU.ESP,TROL,2015-08-19,43.615,-1.856666667
EU.ESP,TROL,2015-08-19,43.615,-1.856666667
EU.ESP,TROL,2015-08-21,43.58666667,-1.748333333
EU.ESP,TROL,2015-08-21,43.57833333,-1.743333333
EU.ESP,TROL,2015-08-21,43.53666667,-1.763333333
EU.ESP,TROL,2015-10-12,43.56666667,-1.983333333
EU.ESP,TROL,2016-05-29,43.50333333,-1.888333333
EU.ESP,TROL,2016-06-05,43.57666667,-1.98
EU.ESP,TROL,2016-06-19,43.45666667,-1.838333333
EU.ESP,TROL,2016-06-19,43.46,-1.851666667
EU.ESP,TROL,2016-06-19,43.46333333,-1.843333333
EU.ESP,TROL,2016-06-19,43.52166667,-1.88
EU.ESP,TROL,2016-06-19,43.52166667,-1.88
EU.ESP,TROL,2016-06-19,43.51666667,-1.836666667
EU.ESP,TROL,2016-06-19,43.51666667,-1.836666667
EU.ESP,TROL,2016-07-10,43.67333333,-2.191666667
EU.ESP,TROL,2016-07-10,43.69166667,-2.211666667
EU.ESP,TROL,2016-07-23,43.57666667,-2.026666667
EU.ESP,TROL,2016-07-23,43.67833333,-2.31
EU.ESP,TROL,2016-07-23,43.73833333,-2.118333333
EU.ESP,TROL,2016-07-23,43.72,-2.095
EU.ESP,TROL,2016-07-24,43.55833333,-2.07
EU.ESP,TROL,2016-07-24,43.5575,-2.143333333
EU.ESP,TROL,2016-07-30,43.565,-2.068333333
EU.ESP,TROL,2016-07-30,43.58833333,-2.143333333
EU.ESP,TROL,2016-07-30,43.58833333,-2.143333333
EU.ESP,TROL,2016-08-11,43.60833333,-2.078333333
EU.ESP,TROL,2016-08-11,43.62666667,-2.126666667
EU.ESP,TROL,2016-08-11,43.635,-2.153333333
EU.ESP,TROL,2016-08-11,43.635,-2.153333333
EU.ESP,TROL,2016-08-11,43.635,-2.153333333
EU.ESP,TROL,2016-08-11,43.64333333,-2.263333333
EU.ESP,TROL,2016-08-11,43.64333333,-2.263333333
EU.ESP,TROL,2016-08-11,43.62666667,-2.311666667
EU.ESP,TROL,2016-08-11,43.55666667,-2.043333333
EU.ESP,TROL,2016-08-11,43.555,-2.03
EU.ESP,UNCL,2009-06-13,39.36666667,1.233333333
EU.ESP,SPOR,2010-09-05,42.06666667,3.9
EU.ESP,TROL,2016-06-07,43.507,-2.021
EU.ESP,SPOR,2010-09-05,42.12138889,3.820833333
EU.ESP,SPOR,2010-09-05,42.08555556,3.868888889
EU.ESP,SPOR,2010-09-05,42.13333333,3.81
EU.ESP,SPOR,2010-09-05,42.08555556,3.868888889
EU.ESP,SPOR,2010-09-05,42.12527778,3.800277778
EU.ESP,TROL,2011-08-13,43.554,-2.13
EU.ESP,TROL,2011-08-13,43.564,-2.145
EU.ESP,TROL,2011-07-29,43.553,-2.18
EU.ESP,TROL,2011-07-29,43.753,-2.29
EU.ESP,TROL,2011-07-29,43.753,-2.29
EU.ESP,TROL,2011-07-29,43.633,-2.2
EU.ESP,TROL,2011-07-29,43.633,-2.2
EU.ESP,SPOR,2011-09-03,40.85,0.85
EU.ESP,SPOR,2011-08-01,40.81666667,0.916666667
EU.ESP,SPOR,2011-05-22,40.85,0.85
EU.ESP,SPOR,2011-05-22,40.83333333,0.85
EU.ESP,SPOR,2011-05-22,40.85,0.85
EU.ESP,SPOR,2011-05-22,40.85,0.85
EU.ESP,SPOR,2011-05-22,40.85,0.85
EU.ESP,SPOR,2010-09-04,41.92777778,3.666666667
EU.ESP,SPOR,2010-10-23,39.42666667,0.166666667
EU.ESP,SPOR,2010-09-04,42.84722222,3.65
EU.ESP,SPOR,2010-09-04,42.84722222,3.65
EU.ESP,SPOR,2010-09-05,42.07833333,3.887222222
EU.ESP,SPOR,2010-07-03,40.48333333,3.433333333
EU.ESP,SPOR,2010-09-05,42.05,3.883333333
EU.ESP,SPOR,2010-07-03,40.56666667,3.683333333
EU.ESP,SPOR,2011-08-05,40.95,0.983333333
EU.ESP,SPOR,2010-07-03,40.06666667,2.733333333
EU.ESP,SPOR,2011-07-15,40.85,0.85
EU.ESP,SPOR,2011-08-15,40.83333333,0.9
EU.ESP,SPOR,2011-08-15,40.83333333,0.9
EU.ESP,SPOR,2010-09-05,42.06666667,3.9
EU.ESP,SPOR,2011-08-15,40.83333333,0.9
EU.ESP,SPOR,2010-09-04,42.98611111,3.771666667
EU.ESP,TROL,2011-08-06,43.52166667,-1.706666667
EU.ESP,SPOR,2011-08-15,40.83333333,0.9
EU.ESP,SPOR,2010-07-04,40.3,2.85
EU.ESP,UNCL,2009-10-03,,
EU.ESP,SPOR,2011-08-13,40.85,0.9
EU.ESP,SPOR,2010-07-03,40.5,3.5
UNCL.FLEETS,UNCL,,,
EU.ESP,TROL,2011-08-13,43.4145,-2.250333
EU.ESP,TROL,2011-07-30,43.57,-1.84
EU.ESP,TROL,2011-07-30,43.58,-1.85
EU.ESP,TROL,2011-07-30,43.57,-1.88
EU.ESP,TROL,2011-07-30,43.62,-1.88
EU.ESP,TROL,2011-07-30,43.57,-1.94
EU.ESP,TROL,2011-07-30,43.54,-1.93
EU.ESP,TROL,2011-08-09,43.6,-1.87
EU.ESP,TROL,2011-08-09,43.53,-2.1
EU.ESP,TROL,2011-08-09,43.49,-2.02
EU.ESP,TROL,2011-08-24,43.54666667,-1.895
EU.ESP,TROL,2011-10-15,43.63,-1.87
EU.ESP,TROL,2011-10-15,43.63,-1.87
EU.ESP,TROL,2011-10-15,43.63,-1.88
EU.ESP,TROL,2011-10-15,43.63,-1.91
EU.ESP,TROL,2012-06-09,43.605,-1.845
EU.ESP,TROL,2012-06-09,43.59166667,-1.84
EU.ESP,TROL,2012-06-09,43.61,-1.848333333
EU.ESP,TROL,2012-06-16,43.61,-1.89
EU.ESP,TROL,2012-06-16,43.61333333,-1.895
EU.ESP,TROL,2012-06-16,43.61833333,-1.896666667
EU.ESP,TROL,2012-06-16,43.61833333,-1.896666667
EU.ESP,TROL,2012-06-16,43.63166667,-1.918333333
EU.ESP,TROL,2012-06-16,43.63166667,-1.918333333
EU.ESP,TROL,2012-06-16,43.63,-1.936666667
EU.ESP,TROL,2011-08-06,43.52666667,-1.7025
